# hostname;interval;timestamp;frmpg/s;bufpg/s;campg/s
axle;60;1415223174;-76854.73;-0.25;43276.27
axle;60;1415223234;7071.35;-30.47;-24275.85
axle;60;1415223294;5260.48;-2.90;-10142.65
axle;60;1415223354;11712.15;-0.25;-8631.30
axle;60;1415223414;8930.22;0.98;456.10
axle;60;1415223474;-3816.72;0.92;2235.33
axle;60;1415223534;-9257.85;0.85;5918.72
axle;60;1415223594;-13857.37;-6.43;3735.72
axle;60;1415223654;9330.45;-2.30;-8734.63
axle;60;1415223714;3320.87;0.85;-6002.60
axle;60;1415223774;21281.67;0.93;-8084.38
axle;60;1415223834;17874.07;0.90;-916.48
axle;60;1415223894;-13325.70;0.82;-1008.82
axle;60;1415223954;-9927.68;0.83;889.12
axle;60;1415224014;-438.42;0.80;3701.93
axle;60;1415224074;5803.38;0.83;3315.40
axle;60;1415224134;4030.83;0.83;1018.93
axle;60;1415224194;-19537.53;1.28;2578.85
axle;60;1415224254;7459.63;0.88;-771.48
axle;60;1415224314;2091.42;0.92;1005.45
axle;60;1415224374;-2841.15;0.85;-889.25
axle;60;1415224434;8762.23;0.85;-462.75
axle;60;1415224494;-16858.98;0.87;3867.40
axle;60;1415224554;6534.55;0.98;1034.68
axle;60;1415224614;-6175.20;0.93;-2507.63
axle;60;1415224674;19775.80;0.95;-851.00
axle;60;1415224734;-771.53;0.83;768.30
axle;60;1415224794;-8003.25;0.87;4781.93
axle;60;1415224854;-10697.08;0.88;2167.42
axle;60;1415224914;-14546.83;0.15;5866.25
axle;60;1415224974;-2954.42;0.78;6624.52
axle;60;1415225034;1468.32;0.82;-1109.93
axle;60;1415225094;5422.50;1.45;2646.53
axle;60;1415225154;-5299.82;0.63;-5342.22
axle;60;1415225214;4255.10;0.67;-1528.05
axle;60;1415225274;-4386.60;0.75;1547.80
axle;60;1415225334;-7156.28;-11.90;-4939.58
axle;60;1415225394;16150.78;0.75;-775.50
axle;60;1415225454;2004.57;0.45;868.08
axle;60;1415225514;3778.92;0.50;-8276.52
axle;60;1415225574;42718.38;-42.22;-7766.40
axle;60;1415225634;15519.23;0.78;1235.18
axle;60;1415225694;-884.40;0.73;1247.05
axle;60;1415225754;-1068.25;0.72;1057.80
axle;60;1415225814;-1182.32;0.70;1186.33
axle;60;1415225874;-1149.55;0.83;1184.45
axle;12298;1415238172;0.03;2.87;5.49
axle;60;1415238232;-75858.15;0.42;44886.00
axle;60;1415238292;16891.38;-12.67;-17452.48
axle;60;1415238352;7167.43;0.93;-2212.77
axle;60;1415238412;-2453.57;0.70;14.20
axle;60;1415238472;-54.22;0.93;-606.00
axle;60;1415238532;8914.75;0.77;-4179.57
axle;60;1415238592;3188.45;0.90;998.97
axle;60;1415238652;-21218.47;0.77;811.33
axle;60;1415238712;12930.85;0.62;4001.85
axle;60;1415238772;-8612.07;0.90;3239.82
axle;60;1415238832;14334.63;0.85;-4393.92
axle;60;1415238892;-2757.23;0.75;1052.07
axle;60;1415238952;-743.78;0.90;962.35
axle;60;1415239012;-4242.72;0.85;3237.43
axle;60;1415239072;-9434.38;1.32;8438.27
axle;60;1415239132;-6848.80;0.77;3058.25
axle;60;1415239192;4390.65;0.93;-4783.72
axle;60;1415239252;3378.72;576.18;-1993.22
axle;60;1415239312;-6829.63;0.90;813.30
axle;60;1415239372;116.53;-4.85;-2081.88
axle;60;1415239432;32944.38;0.52;-10155.53
